Region,Country,First Closed Won Opp Date,Account ID,CSM Status Stage,Activation Date,Highest Product,Last Product usage date,# delivery partners,Time to Activation
Region C,Country 16,2022-01-13,0016R0000378nlX,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nlY,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nm1,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nm6,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nma,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nmB,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nmb,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nmf,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nmG,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nmH,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nmk,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nmL,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nmp,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nmq,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nmQ,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nmr,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nmR,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nmu,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nmV,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nmz,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nn9,Onboarding,,Basic,,1.3,
Region C,Country 3,2022-01-13,0016R0000378nnA,Active,2022-01-13,Basic,,1.0,0 days
Region C,Country 16,2022-01-13,0016R0000378nnd,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nne,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nnE,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nni,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nnJ,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nnn,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nnO,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nns,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nnx,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nnY,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nNz,Onboarding,,Basic,2022-01-13,1.3,
Region C,Country 16,2022-01-13,0016R0000378nob,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378noC,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378noc,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nog,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378noH,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nOi,Active,2022-01-14,Basic,2022-01-14,2.0,1 days
Region C,Country 16,2022-01-13,0016R0000378nol,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378noM,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378noq,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378noR,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nov,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378noW,Onboarding,,Basic,,1.3,
